Gender,Title,FirstName,LastName,StreetAddress,City,State,ZipCode,Country,CountryFull,TelephoneNumber,Birthday
Gender,Title,FirstName,LastName,StreetAddress,City,State,ZipCode,Country,CountryFull,TelephoneNumber,Birthday
male,Mr.,James,Wills,2334 Parkdale Avenue,Hamilton,ON,L8K 1A4,CA,Canada,905-548-7773,1955-05-26
female,Ms.,Carmen,Ruvalcaba,680 Wellington Ave,Chilliwack,BC,V2P 2M1,CA,Canada,604-407-3290,1994-06-20
female,Ms.,Holli,Feliciano,1210 Heritage Drive,Calgary,AB,T2V 2W2,CA,Canada,403-710-3330,1993-01-02
female,Mrs.,Leah,Conroy,2340 Central Pkwy,Erin Mills,ON,L5L 3A1,CA,Canada,905-606-9739,1955-06-19
male,Mr.,Anthony,Westcott,3992 Tolmie St,Vancouver,BC,V6R 4C5,CA,Canada,604-221-2771,1992-10-23
male,Mr.,Drew,Maeda,4845 Blanshard,Victoria,BC,V8W 2H9,CA,Canada,250-883-7062,1988-09-09
female,Mrs.,Madeline,Provost,2196 Brew Creek Rd,Squamish,BC,V0N 3G0,CA,Canada,604-892-1233,1935-01-03
male,Mr.,Lewis,Turney,3257 Bay Street,Toronto,ON,M5J 2R8,CA,Canada,647-885-2303,1945-01-28
male,Mr.,Michael,Smith,4676 Bank St,Ottawa,ON,K1H 7Z1,CA,Canada,613-733-4009,1929-10-25
female,Ms.,Ruth,Keyes,4585 Sheppard Ave,Toronto,ON,M1S 1T4,CA,Canada,416-291-5361,1949-11-02
female,Mrs.,Mary,Baldwin,2165 Landon Street,Sturgeon Falls,ON,P0H 2G0,CA,Canada,705-753-3314,1993-01-26
female,Ms.,Bertha,Angell,4671 Adelaide St,Toronto,ON,M5H 1P6,CA,Canada,416-397-1688,1991-04-10
female,Mrs.,Rosetta,Mariotti,3628 Lynden Road,Tottenham,ON,L0G 1W0,CA,Canada,905-936-5518,1942-04-26
female,Mrs.,Amy,Maynard,58 Parkdale Avenue,Hamilton,ON,L8K 1A4,CA,Canada,905-314-7113,1969-03-06
female,Ms.,Maxine,Shrum,4118 Bay Street,Toronto,ON,M5J 2R8,CA,Canada,647-989-8152,1931-04-02
